Chargeback Reference Number,Transaction Date,Filing Date,Settlement Date,Issuer Bank,Merchant Name,Merchant Category,Transaction Amount,Currency,Reason Code,Chargeback Stage,Status,Analyst,SLA Met,Days to File,Days to Resolve,Resolution Channel,Merchant Risk Score,Transaction Type,Card Type,Customer Segment,Fraudulent Transaction,Fraud Type,Case Urgency,Cardholder Country
CBR456778,2023-09-03,2023-10-18,2023-09-24,Maybank,Starbucks,Food & Beverage,944.22,AUD,R112 Billing Issue,Pre-Arbitration,Withdrawn by Cardholder,Akmal Danial,Yes,45,24,Merchant Coordination,77,Online,Debit,Business,Yes,Phishing,High,Thailand
CBR391369,2023-11-09,2023-12-20,2023-11-24,Bank Islam,Expedia,Travel,884.11,MYR,R111 Technical Error,First Chargeback,Under Review,Nadiah Saat,Yes,41,26,Issuer Portal,72,Wallet,Prepaid,Business,No,-,Medium,Indonesia
CBR263032,2023-03-28,2023-06-11,2023-04-26,RHB,Klook,Travel,890.75,CNY,R107 Late Settlement,Arbitration,Arbitration Filed,Nadiah Saat,No,75,46,In-House Review,56,Online,Debit,Regular,Yes,Account Takeover,High,Malaysia
CBR325772,2023-09-09,2023-10-22,2023-10-07,HSBC,Zalora,E-commerce,445.03,AUD,R111 Technical Error,First Chargeback,Merchant Refunded,Nadiah Saat,Yes,43,15,Issuer Portal,65,QR,Prepaid,Premium,No,-,Medium,Australia
CBR900581,2023-04-19,2023-07-09,2023-05-13,UOB,Apple Music,Subscription,1878.15,EUR,R115 Payment Method Error,First Chargeback,Under Review,Akmal Danial,No,81,57,Automated Dispute System,54,QR,Debit,Regular,No,-,Medium,Malaysia
CBR452944,2023-10-27,2024-02-09,2023-11-11,OCBC,YouTube Premium,Subscription,1249.7,GBP,R111 Technical Error,First Chargeback,Submitted,Shazlin Suhaime,No,105,90,Issuer Portal,40,Wallet,Credit,Business,Yes,Friendly Fraud,High,Malaysia
CBR207175,2024-11-16,2025-02-09,2024-12-15,UOB,TNG eWallet,Transport,1357.41,AUD,R111 Technical Error,Arbitration,Arbitration Filed,Shazlin Suhaime,No,85,56,Issuer Portal,68,QR,Credit,Regular,No,-,Medium,Hong Kong
CBR197251,2024-01-29,2024-03-20,2024-02-25,RHB,Lazada,E-commerce,468.69,USD,R109 Fraudulent Activity,Arbitration,Lost,Shazlin Suhaime,Yes,51,24,Merchant Coordination,57,POS,Debit,Business,Yes,Phishing,Low,Philippines
CBR498382,2024-02-04,2024-02-27,2024-02-15,Maybank,Klook,Travel,999.96,GBP,R101 Unauthorized Transaction,First Chargeback,Under Review,Shazlin Suhaime,Yes,23,12,Automated Dispute System,47,QR,Prepaid,Regular,Yes,Stolen Card,High,Malaysia
CBR201414,2023-08-15,2023-09-25,2023-09-04,UOB,Klook,Travel,1626.36,IDR,R109 Fraudulent Activity,First Chargeback,Under Review,Akmal Danial,Yes,41,21,Issuer Portal,74,POS,Prepaid,Business,Yes,Friendly Fraud,High,Indonesia
CBR476417,2023-10-16,2023-11-08,2023-11-02,CIMB,Agoda,Travel,887.51,CHF,R109 Fraudulent Activity,First Chargeback,Submitted,Akmal Danial,Yes,23,6,In-House Review,35,POS,Prepaid,Regular,Yes,Account Takeover,High,Malaysia
CBR988662,2025-10-07,2025-11-16,2025-10-30,RHB,Nike,Fashion,855.35,GBP,R104 Duplicate Charge,Pre-Arbitration,Won,Akmal Danial,Yes,40,17,In-House Review,66,QR,Prepaid,Premium,No,-,Medium,Thailand
CBR460663,2024-11-30,2025-01-08,2024-12-22,AmBank,Adidas,Fashion,1902.27,AUD,R105 Cancelled Subscription,Pre-Arbitration,Won,Nadiah Saat,Yes,39,17,Manual Investigation,82,Subscription,Prepaid,Regular,No,-,Medium,South Korea
CBR733052,2024-10-19,2024-11-21,2024-11-07,Bank Islam,Tesco,Grocery,1708.81,THB,R113 Unauthorized Recurring Charge,Pre-Arbitration,Lost,Akmal Danial,Yes,33,14,Automated Dispute System,59,Subscription,Credit,Premium,Yes,Friendly Fraud,High,Malaysia
CBR377370,2023-07-04,2023-08-14,2023-07-21,Maybank,Shopee,E-commerce,1431.15,GBP,R102 Services Not Received,First Chargeback,Under Review,Shazlin Suhaime,Yes,41,24,Merchant Coordination,89,Subscription,Prepaid,Premium,No,-,Medium,Thailand
CBR946335,2025-02-25,2025-05-10,2025-03-15,OCBC,MAXIS,Telecom,981.65,SGD,R112 Billing Issue,Arbitration,Timed Out,Akmal Danial,No,74,56,Automated Dispute System,42,Wallet,Debit,Regular,No,-,Low,Philippines
CBR145561,2023-06-26,2023-08-07,2023-07-26,Maybank,GrabFood,Food & Beverage,1021.67,INR,R113 Unauthorized Recurring Charge,Pre-Arbitration,Lost,Nadiah Saat,Yes,42,12,In-House Review,32,POS,Credit,Premium,Yes,Friendly Fraud,High,Japan
CBR865179,2024-02-14,2024-03-24,2024-03-14,AmBank,Secret Recipe,Food & Beverage,1396.46,BDT,R111 Technical Error,Arbitration,Arbitration Filed,Akmal Danial,Yes,39,10,In-House Review,90,Wallet,Credit,Business,No,-,Medium,Australia
CBR581741,2025-12-03,2026-03-11,2025-12-12,CIMB,IKEA,Retail,1424.66,ZAR,R102 Services Not Received,Pre-Arbitration,Won,Akmal Danial,No,98,89,In-House Review,74,Subscription,Credit,Premium,No,-,Medium,Malaysia
CBR662275,2024-11-21,2025-03-02,2024-12-10,CIMB,Texas Chicken,Food & Beverage,619.42,SGD,R111 Technical Error,Pre-Arbitration,Merchant Refunded,Shazlin Suhaime,No,101,82,In-House Review,43,QR,Credit,Business,No,-,Low,Japan
CBR230889,2024-08-23,2024-09-27,2024-08-30,Bank Islam,H&M,Fashion,1633.7,CAD,R105 Cancelled Subscription,First Chargeback,Submitted,Shazlin Suhaime,Yes,35,28,Automated Dispute System,53,POS,Credit,Regular,No,-,Medium,Malaysia
CBR496922,2025-01-08,2025-04-01,2025-01-20,HSBC,Agoda,Travel,1897.22,GBP,R108 Credit Not Processed,Pre-Arbitration,Lost,Akmal Danial,No,83,71,In-House Review,87,POS,Prepaid,Premium,No,-,Medium,India
CBR182627,2025-06-28,2025-08-13,2025-07-24,OCBC,PG Mall,E-commerce,1737.38,SGD,R115 Payment Method Error,First Chargeback,Submitted,Nadiah Saat,Yes,46,20,Merchant Coordination,45,Online,Debit,Business,No,-,Medium,Singapore
CBR678856,2025-04-17,2025-05-08,2025-04-24,CIMB,Expedia,Travel,535.83,MYR,R102 Services Not Received,First Chargeback,Lost,Shazlin Suhaime,Yes,21,14,Automated Dispute System,78,Wallet,Debit,Business,No,-,Medium,Malaysia
CBR407419,2023-09-05,2023-10-12,2023-09-22,UOB,FamilyMart,Grocery,861.76,IDR,R113 Unauthorized Recurring Charge,Pre-Arbitration,Lost,Akmal Danial,Yes,37,20,Automated Dispute System,33,Subscription,Credit,Business,Yes,Friendly Fraud,High,United States
CBR969693,2023-02-04,2023-02-15,2023-02-14,Maybank,Starbucks,Food & Beverage,916.55,THB,R113 Unauthorized Recurring Charge,Arbitration,Won,Akmal Danial,Yes,11,1,Merchant Coordination,58,POS,Prepaid,Premium,Yes,Friendly Fraud,High,Australia
CBR759176,2023-12-07,2024-01-18,2023-12-27,Maybank,Texas Chicken,Food & Beverage,379.93,IDR,R109 Fraudulent Activity,Arbitration,Timed Out,Nadiah Saat,Yes,42,22,Merchant Coordination,68,Subscription,Debit,Regular,Yes,Phishing,Medium,Singapore
CBR748564,2023-10-16,2024-01-11,2023-11-05,Public Bank,Starbucks,Food & Beverage,1973.81,CNY,R106 Incorrect Amount,Arbitration,Timed Out,Akmal Danial,No,87,67,In-House Review,80,Wallet,Prepaid,Business,No,-,Medium,India
CBR479201,2023-08-16,2023-09-25,2023-09-07,HSBC,Digi,Telecom,606.19,NZD,R103 Goods Not as Described,Arbitration,Timed Out,Nadiah Saat,Yes,40,18,Automated Dispute System,45,Wallet,Debit,Regular,No,-,Low,Malaysia
CBR705397,2025-10-14,2025-11-30,2025-11-12,OCBC,Jaya Grocer,Grocery,215.41,IDR,R111 Technical Error,Arbitration,Arbitration Filed,Nadiah Saat,Yes,47,18,Merchant Coordination,37,Subscription,Debit,Business,No,-,Low,Australia
CBR301629,2025-08-03,2025-11-10,2025-09-02,Standard Chartered,Jaya Grocer,Grocery,185.43,JPY,R111 Technical Error,Arbitration,Arbitration Closed,Shazlin Suhaime,No,99,69,Merchant Coordination,77,Subscription,Debit,Business,No,-,Medium,Indonesia
CBR838797,2023-12-06,2024-03-01,2023-12-30,CIMB,PG Mall,E-commerce,1617.85,HKD,R111 Technical Error,First Chargeback,Additional Info Requested,Akmal Danial,No,86,62,Manual Investigation,90,POS,Credit,Business,No,-,Medium,Malaysia
CBR172933,2024-12-08,2025-02-18,2024-12-25,Bank Islam,Agoda,Travel,1155.95,ZAR,R114 Failed Delivery,First Chargeback,Additional Info Requested,Nadiah Saat,No,72,55,Merchant Coordination,89,QR,Credit,Business,No,-,Medium,Philippines
CBR148050,2024-03-02,2024-05-01,2024-03-27,UOB,AirAsia,Travel,217.64,NZD,R110 Customer Dispute,First Chargeback,Won,Nadiah Saat,Yes,60,35,Automated Dispute System,68,Subscription,Debit,Regular,No,-,Medium,Malaysia
CBR793384,2025-09-13,2025-10-23,2025-10-12,Public Bank,TNG eWallet,Transport,1199.77,EUR,R114 Failed Delivery,Pre-Arbitration,Lost,Shazlin Suhaime,Yes,40,11,Automated Dispute System,48,POS,Prepaid,Premium,No,-,Medium,Indonesia
CBR338968,2024-05-10,2024-06-01,2024-05-27,Maybank,Setel,Transport,1656.63,JPY,R113 Unauthorized Recurring Charge,First Chargeback,Merchant Refunded,Akmal Danial,Yes,22,5,Automated Dispute System,88,QR,Credit,Business,Yes,Friendly Fraud,High,Vietnam
CBR910620,2023-10-13,2023-11-12,2023-11-01,OCBC,eBay,E-commerce,847.76,CNY,R109 Fraudulent Activity,Pre-Arbitration,Pending Arbitration,Shazlin Suhaime,Yes,30,11,Merchant Coordination,89,QR,Prepaid,Business,Yes,Friendly Fraud,High,Malaysia
CBR403445,2023-09-24,2023-11-22,2023-10-05,Public Bank,Charles & Keith,Fashion,1505.77,MYR,R102 Services Not Received,Arbitration,Lost,Shazlin Suhaime,No,59,48,Manual Investigation,74,POS,Debit,Premium,No,-,Medium,Singapore
CBR183667,2024-08-28,2024-10-12,2024-09-10,CIMB,Secret Recipe,Food & Beverage,1471.96,ZAR,R104 Duplicate Charge,First Chargeback,Representment Received,Akmal Danial,Yes,45,32,Automated Dispute System,36,POS,Credit,Regular,No,-,Medium,Thailand
CBR996865,2023-10-11,2023-11-07,2023-10-21,OCBC,Klook,Travel,1301.95,THB,R101 Unauthorized Transaction,Arbitration,Won,Akmal Danial,Yes,27,17,In-House Review,49,Subscription,Debit,Premium,Yes,Stolen Card,High,Indonesia
CBR344098,2024-09-22,2024-12-16,2024-10-22,OCBC,Netflix,Entertainment,1552.82,NZD,R111 Technical Error,Arbitration,Lost,Shazlin Suhaime,No,85,55,Automated Dispute System,37,QR,Prepaid,Regular,No,-,Medium,Malaysia
CBR205907,2025-08-26,2025-12-04,2025-09-23,AmBank,Netflix,Entertainment,453.75,ZAR,R111 Technical Error,Arbitration,Won,Shazlin Suhaime,No,100,72,Issuer Portal,54,Wallet,Prepaid,Regular,No,-,Low,Singapore
CBR498591,2024-03-06,2024-06-10,2024-03-22,HSBC,Uniqlo,Fashion,254.85,AED,R107 Late Settlement,Pre-Arbitration,Pre-Arbitration Submitted,Shazlin Suhaime,No,96,80,Automated Dispute System,80,Wallet,Debit,Business,No,-,Medium,Vietnam
CBR391476,2023-08-25,2023-10-07,2023-09-19,CIMB,Booking.com,Travel,1428.93,GBP,R109 Fraudulent Activity,Arbitration,Arbitration Filed,Shazlin Suhaime,Yes,43,18,In-House Review,58,Online,Prepaid,Business,Yes,Phishing,High,Vietnam
CBR575435,2025-12-12,2026-01-11,2025-12-23,Maybank,AliExpress,E-commerce,416.43,KRW,R101 Unauthorized Transaction,First Chargeback,Submitted,Akmal Danial,Yes,30,19,Merchant Coordination,40,QR,Prepaid,Business,Yes,Stolen Card,Low,Thailand
CBR766563,2024-07-03,2024-07-31,2024-07-19,Bank Islam,Adidas,Fashion,1892.7,HKD,R104 Duplicate Charge,Arbitration,Timed Out,Akmal Danial,Yes,28,12,Automated Dispute System,88,QR,Prepaid,Business,No,-,Medium,United Kingdom
CBR974628,2023-04-09,2023-05-09,2023-05-02,Maybank,Agoda,Travel,1377.42,JPY,R109 Fraudulent Activity,Arbitration,Lost,Akmal Danial,Yes,30,7,In-House Review,65,POS,Credit,Business,Yes,Stolen Card,High,Malaysia
CBR482554,2023-02-20,2023-05-28,2023-03-03,HSBC,Uniqlo,Fashion,846.92,CNY,R105 Cancelled Subscription,Arbitration,Arbitration Closed,Nadiah Saat,No,97,86,Merchant Coordination,39,Subscription,Debit,Business,Yes,Friendly Fraud,High,Singapore
CBR270555,2023-04-29,2023-08-25,2023-05-28,Standard Chartered,Malaysia Airlines,Travel,389.29,PHP,R111 Technical Error,Pre-Arbitration,Lost,Nadiah Saat,No,118,89,Merchant Coordination,31,Subscription,Debit,Premium,No,-,Low,United States
CBR488162,2024-11-08,2025-02-01,2024-11-18,CIMB,Astro,Subscription,224.43,IDR,R105 Cancelled Subscription,Arbitration,Won,Nadiah Saat,No,85,75,In-House Review,30,POS,Credit,Premium,No,-,Low,Malaysia
CBR472528,2025-05-04,2025-06-12,2025-05-23,Standard Chartered,FamilyMart,Grocery,1566.55,HKD,R104 Duplicate Charge,First Chargeback,Under Review,Nadiah Saat,Yes,39,20,Manual Investigation,66,QR,Debit,Business,No,-,Medium,India
CBR319684,2024-03-31,2024-04-23,2024-04-10,Bank Islam,Starbucks,Food & Beverage,345.64,AED,R110 Customer Dispute,Pre-Arbitration,Pre-Arbitration Submitted,Nadiah Saat,Yes,23,13,Manual Investigation,30,POS,Credit,Premium,No,-,Low,Indonesia
CBR802729,2023-03-10,2023-04-15,2023-03-21,RHB,Secret Recipe,Food & Beverage,760.71,INR,R111 Technical Error,Arbitration,Arbitration Closed,Shazlin Suhaime,Yes,36,25,Automated Dispute System,52,POS,Credit,Premium,No,-,Low,Philippines
CBR379946,2024-02-16,2024-05-19,2024-03-07,Public Bank,H&M,Fashion,1883.65,SGD,R105 Cancelled Subscription,First Chargeback,Additional Info Requested,Nadiah Saat,No,93,73,Issuer Portal,45,Online,Debit,Business,No,-,Medium,South Korea
CBR835911,2025-12-10,2026-01-12,2025-12-19,OCBC,Secret Recipe,Food & Beverage,575.27,USD,R101 Unauthorized Transaction,Pre-Arbitration,Withdrawn by Cardholder,Shazlin Suhaime,Yes,33,24,In-House Review,62,Subscription,Prepaid,Premium,Yes,Stolen Card,High,Indonesia
CBR816751,2024-07-24,2024-10-24,2024-07-31,Bank Islam,Giant,Grocery,384.42,CAD,R107 Late Settlement,Arbitration,Arbitration Filed,Nadiah Saat,No,92,85,Manual Investigation,68,Wallet,Debit,Regular,No,-,Medium,Thailand
CBR779514,2025-11-13,2026-01-10,2025-12-06,UOB,Amazon,E-commerce,353.75,PHP,R115 Payment Method Error,Pre-Arbitration,Withdrawn by Cardholder,Nadiah Saat,Yes,58,35,Automated Dispute System,37,POS,Credit,Premium,No,-,Low,Malaysia
CBR174870,2025-07-17,2025-09-01,2025-08-10,Maybank,Giant,Grocery,583.68,GBP,R114 Failed Delivery,Pre-Arbitration,Pre-Arbitration Rejected,Shazlin Suhaime,Yes,46,22,Automated Dispute System,89,POS,Prepaid,Premium,No,-,Medium,Japan
CBR738720,2023-01-13,2023-03-28,2023-01-21,Standard Chartered,Charles & Keith,Fashion,1785.53,USD,R114 Failed Delivery,Pre-Arbitration,Pre-Arbitration Submitted,Nadiah Saat,No,74,66,Merchant Coordination,52,Online,Credit,Regular,No,-,Medium,Hong Kong
CBR765822,2025-02-16,2025-03-14,2025-02-23,HSBC,H&M,Fashion,864.45,PHP,R106 Incorrect Amount,First Chargeback,Submitted,Akmal Danial,Yes,26,19,Issuer Portal,46,POS,Credit,Business,No,-,Low,Malaysia
CBR279451,2025-01-05,2025-03-25,2025-01-23,AmBank,foodpanda,Food & Beverage,1784.93,EUR,R105 Cancelled Subscription,Arbitration,Lost,Nadiah Saat,No,79,61,In-House Review,57,QR,Debit,Business,No,-,Medium,Malaysia
CBR660086,2024-08-02,2024-09-05,2024-08-15,UOB,Digi,Telecom,383.19,CAD,R112 Billing Issue,First Chargeback,Submitted,Akmal Danial,Yes,34,21,In-House Review,47,Subscription,Debit,Business,No,-,Low,Malaysia
